killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Mini 14,Dveil1994219,4,47429.61,546672.8,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1547,Bugs-BunnyKW,,43972.38,542885.1
Down and Out,Faker-SKT1,1,47378.99,504664.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1704,BillyTheElf,,46806.6,505510.1
AKM,Faker-SKT1,1,47378.99,504664.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1703,X-SeaPunk-X,,46815.87,505635.5
Down and Out,LsAYanglu,2,48229.08,525265.1,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1209,liuliV587,,47835.26,532330.9
Grenade,LsAYanglu,2,48229.08,525265.1,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1207,Groovein,,47860.79,532229.3
Mini 14,RemyGames,8,277653.5,265142.2,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,708,JC-Denton,,274932.4,267555.6
Down and Out,Suspected,8,277308.7,264914.8,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,710,MrJibbletts,,275389.9,266555.2
Down and Out,Lishuaiqi1994,5,317957,543955.3,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,975,KyoninN,,317382.4,542572.6
M416,Lishuaiqi1994,5,317820.3,544005.5,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,974,Beeleeh,,317427.1,542661.8
Uaz,Groovein,1,48783.44,534454.1,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1172,zzzzhang111,2,52405.59,521476.8
SCAR-L,salehGAZA,1,59656.49,506228.3,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1757,PAPcannon,2,59647.14,506736.5
Down and Out,Faker-SKT1,1,62315.21,496369.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1755,MangeMoi,2,67315.1,492672.3
AKM,Faker-SKT1,1,62716.05,496425.4,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1755,kado_01,2,67462.01,492177.8
Down and Out,Twiist_Legacy,3,106554.5,525920,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1463,Mercedes-Amg63,2,96343.95,535236.3
SKS,shafT-m1ng,5,142566.3,538961.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1328,ZSH2580,2,139376.1,552976.6
M416,Yaocheng-,1,187565,501418.9,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1817,LsAYanglu,2,184358.2,501746.1
UMP9,vnkiller,10,370663.3,496915,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,903,NicholasL666,2,368236.5,495907.9
AKM,Faker-SKT1,1,54647.97,502004.7,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1732,LordKnightTHC,3,66267.23,489305
M416,Dveil1994219,4,65936.53,533326.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1625,Teaksanny,3,66456.53,532815.3
Down and Out,Mercedes-Amg63,2,107301.7,542467.6,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1433,FP04YT,3,96594.84,533816.9
Grenade,daheng----1993,1,211925.2,508185.7,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1725,ElvanIV,3,210542.7,511183.8
M416,ezez13Yi,5,211926.7,506197.1,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1656,RichThunder,3,215026.4,507442.3
SCAR-L,GrandamaLover,24,367636.9,388923.9,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,797,FraxTHC,3,367182.9,389045.2
Down and Out,iiBroKeN,1,73539.01,548909.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1346,Devil0501,4,64165.33,537131.6
VSS,Twiist_Legacy,3,67027.67,534656.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1626,Dveil1994219,4,65833.96,533136.4
SCAR-L,LsAYanglu,2,182327.6,514222.8,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1707,julyhoney,4,184250.5,515594.4
Grenade,LsAYanglu,2,181407.5,513103,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1692,ZsZsZsZsZsZZ,4,185922.6,516882.1
P92,vnkiller,10,492036.6,348369.2,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,176,Lyan200g,4,491958.2,348028.4
M416,LordKnightTHC,3,73977.08,491233.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1656,TriscuitDaBisket,5,73667.23,491495.3
M416,LordKnightTHC,3,73533.7,490967.7,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1663,DishonestPlace,5,73771.46,490630.1
Down and Out,Teaksanny,3,130026.9,516529.5,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1400,kjvchi,5,141693.1,543492.4
Down and Out,PAPcannon,2,141283.8,552427.2,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1400,shafT-m1ng,5,142040,543430.4
Mini 14,PAPcannon,2,141313.4,552305.1,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1400,pddshizhu666,5,142264.4,539094.9
Down and Out,daheng----1993,1,213172.5,497319.2,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1686,ezez13Yi,5,212550.6,505635.4
SCAR-L,daheng----1993,1,213799,498729.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1686,Lishuaiqi1994,5,213553.7,501875.5
UMP9,kjvchi,5,341146.9,173794.7,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,195,Akoreth,5,341312.5,173710.7
Down and Out,x-WU008,1,63455.71,511057.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1629,Turd_Cutter,6,52182.54,509539.4
AKM,Faker-SKT1,1,58985.72,506548.4,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1629,Dspritzman,6,52737.05,508477.3
M416,ElvanIV,3,214979.5,519807.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1518,djoll,6,215019.7,520044.9
AKM,yuejingbutiao,29,303959.8,500766.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,578,DWXBzyb,6,303937.2,501756.9
Grenade,xzz0727ljj,6,363448.9,581731.7,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1133,xzz0727ljj,6,363448.9,581731.7
Down and Out,Ailurophile_,7,354640.8,571274.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1074,Chensir1014,6,367865,585908.8
M16A4,PhyrexianNegator,17,457654.7,626385.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,534,MAPSMIKE,6,457704.9,626966.8
Bluezone,DishonestPlace,5,82045.64,480374.9,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1620,Hi_Im_Cody,7,71785.94,466013.6
Mk14,DishonestPlace,5,81911.62,481832.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1629,washyleopard,7,74290.44,473570.5
Down and Out,xzz0727ljj,6,367756.4,586018.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1090,Ailurophile_,7,363731.1,580955.2
M416,iiBroKeN,1,612070.4,588757.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,524,LZ-Arlin,7,613482.1,589053.9
